Date, Open, High, Low, Close
2023-02-23,2329.74,2341.17,2306.39,2332.05
2023-02-22,2323.22,2334.51,2312.66,2320.18
2023-02-21,2363.64,2363.64,2320.63,2321.61
2023-02-17,2373.32,2373.32,2354.28,2371.75
2023-02-16,2398.07,2405.74,2377.93,2379.0
2023-02-15,2391.5,2411.65,2384.38,2411.47
2023-02-14,2392.53,2413.47,2376.2,2400.37
2023-02-13,2376.12,2400.37,2372.46,2399.29
2023-02-10,2363.46,2374.07,2355.51,2372.03
2023-02-09,2409.07,2413.42,2362.02,2368.29
2023-02-08,2410.87,2414.97,2388.19,2391.33
2023-02-07,2385.67,2425.46,2375.12,2418.61
2023-02-06,2395.05,2397.19,2379.7,2388.87
2023-02-03,2416.26,2433.03,2398.94,2406.1
2023-02-02,2398.8,2441.8,2398.8,2432.31
2023-02-01,2364.02,2411.5,2346.69,2394.89
2023-01-31,2332.93,2367.8,2332.93,2367.61
2023-01-30,2353.62,2357.18,2329.13,2330.29
2023-01-27,2351.17,2374.64,2348.28,2361.86
2023-01-26,2337.22,2354.74,2327.42,2354.17
2023-01-25,2309.21,2330.44,2289.65,2328.92
2023-01-24,2320.99,2333.4,2315.04,2328.67
2023-01-23,2306.8,2341.82,2303.58,2331.84
2023-01-20,2265.13,2303.32,2260.07,2303.27
2023-01-19,2271.0,2272.94,2251.48,2259.69
2023-01-18,2320.37,2328.91,2277.29,2278.39
2023-01-17,2317.87,2327.05,2310.03,2314.02
2023-01-13,2297.05,2320.04,2288.11,2317.66
2023-01-12,2300.64,2314.54,2279.27,2307.78
2023-01-11,2272.56,2296.97,2272.56,2296.75
2023-01-10,2246.36,2266.94,2241.34,2266.72
2023-01-09,2256.91,2281.55,2248.56,2249.25
2023-01-06,2209.55,2255.06,2201.91,2249.27
2023-01-05,2219.72,2219.72,2196.67,2199.84
2023-01-04,2225.44,2240.49,2191.78,2226.33
2023-01-03,2225.44,2240.49,2191.78,2207.55
2022-12-30,2217.58,2217.58,2195.56,2217.14
2022-12-29,2189.24,2227.26,2189.24,2222.72
2022-12-28,2210.8,2219.39,2181.48,2182.39
2022-12-27,2218.16,2220.17,2201.59,2209.79
2022-12-23,2203.19,2219.43,2192.73,2219.32
2022-12-22,2227.78,2227.78,2173.61,2207.01
2022-12-21,2213.69,2245.68,2213.69,2239.26
2022-12-20,2199.21,2214.95,2190.47,2205.99
2022-12-19,2224.96,2225.32,2192.73,2202.21
2022-12-16,2240.72,2240.72,2209.89,2224.52
2022-12-15,2291.31,2291.31,2240.92,2248.95
2022-12-14,2319.86,2339.41,2291.57,2307.11
2022-12-13,2334.05,2369.07,2305.9,2320.61
2022-12-12,2272.48,2303.44,2270.97,2303.36
2022-12-09,2284.23,2294.76,2270.04,2270.64
2022-12-08,2278.19,2295.93,2272.87,2288.41
2022-12-07,2271.2,2284.81,2264.83,2270.78
2022-12-06,2308.25,2309.97,2261.91,2275.35
